name,description,character,raw_html,role,count
Detective's Hunch,"Unlocks potential in one's Aura-reading ability.
After a Generator is completed, the Auras  of Generators , Chests  and Totems  within 32/48/64 metres are revealed to you for 10 seconds.
If you are holding a Map  that can track Objectives, Generators revealed by Detective's Hunch are added to the Map.
""Are you able to tell us where you were last night?"" — Detective David Tapp",Tapp,"<p>Unlocks potential in one's Aura-reading ability.
</p><p>After a Generator is completed, the <a href=""/Auras"" title=""Auras"">Auras</a> <a href=""/Auras"" title=""Auras""><img alt=""IconHelp auras.png"" src=""https://gamepedia.cursecdn.com/deadbydaylight_gamepedia_en/thumb/0/03/IconHelp_auras.png/32px-IconHelp_auras.png?version=08dcb30431cdc41d9ee7740eba2e7fa4"" decoding=""async"" width=""32"" height=""32"" srcset=""https://gamepedia.cursecdn.com/deadbydaylight_gamepedia_en/thumb/0/03/IconHelp_auras.png/48px-IconHelp_auras.png?version=08dcb30431cdc41d9ee7740eba2e7fa4 1.5x, https://gamepedia.cursecdn.com/deadbydaylight_gamepedia_en/thumb/0/03/IconHelp_auras.png/64px-IconHelp_auras.png?version=08dcb30431cdc41d9ee7740eba2e7fa4 2x""></a> of <a href=""/Generators"" title=""Generators"">Generators</a> <a href=""/Generators"" title=""Generators""><img alt=""IconHelpLoading generators.png"" src=""https://gamepedia.cursecdn.com/deadbydaylight_gamepedia_en/thumb/c/c4/IconHelpLoading_generators.png/32px-IconHelpLoading_generators.png?version=2cb17e41664dcdd121ae182892bb6492"" decoding=""async"" width=""32"" height=""32"" srcset=""https://gamepedia.cursecdn.com/deadbydaylight_gamepedia_en/thumb/c/c4/IconHelpLoading_generators.png/48px-IconHelpLoading_generators.png?version=2cb17e41664dcdd121ae182892bb6492 1.5x, https://gamepedia.cursecdn.com/deadbydaylight_gamepedia_en/thumb/c/c4/IconHelpLoading_generators.png/64px-IconHelpLoading_generators.png?version=2cb17e41664dcdd121ae182892bb6492 2x""></a>, <a href=""/Chests"" title=""Chests"">Chests</a> <a href=""/Chests"" title=""Chests""><img alt=""IconHelp chests.png"" src=""https://gamepedia.cursecdn.com/deadbydaylight_gamepedia_en/thumb/9/98/IconHelp_chests.png/32px-IconHelp_chests.png?version=9d5834a607d2865a3a8016276c4bb7e2"" decoding=""async"" width=""32"" height=""32"" srcset=""https://gamepedia.cursecdn.com/deadbydaylight_gamepedia_en/thumb/9/98/IconHelp_chests.png/48px-IconHelp_chests.png?version=9d5834a607d2865a3a8016276c4bb7e2 1.5x, https://gamepedia.cursecdn.com/deadbydaylight_gamepedia_en/thumb/9/98/IconHelp_chests.png/64px-IconHelp_chests.png?version=9d5834a607d2865a3a8016276c4bb7e2 2x""></a> and <a href=""/Totems"" title=""Totems"">Totems</a> <a href=""/Totems"" title=""Totems""><img alt=""IconHelpLoading totem.png"" src=""https://gamepedia.cursecdn.com/deadbydaylight_gamepedia_en/thumb/e/e9/IconHelpLoading_totem.png/32px-IconHelpLoading_totem.png?version=8995ef0cef6bdeb6f63c9bef44c2d7c2"" decoding=""async"" width=""32"" height=""32"" srcset=""https://gamepedia.cursecdn.com/deadbydaylight_gamepedia_en/thumb/e/e9/IconHelpLoading_totem.png/48px-IconHelpLoading_totem.png?version=8995ef0cef6bdeb6f63c9bef44c2d7c2 1.5x, https://gamepedia.cursecdn.com/deadbydaylight_gamepedia_en/thumb/e/e9/IconHelpLoading_totem.png/64px-IconHelpLoading_totem.png?version=8995ef0cef6bdeb6f63c9bef44c2d7c2 2x""></a> within <span style=""color: #199b1e;""><b>32</b></span>/<span style=""color: #ac3ee3;""><b>48</b></span>/<span style=""color: #ff0955;""><b>64</b></span>&nbsp;metres are revealed to you for <b><span style=""color: #ff8800;"">10 seconds</span></b>.
</p><p>If you are holding a <a href=""/Map"" class=""mw-redirect"" title=""Map"">Map</a> <a href=""/Map"" title=""Map""><img alt=""IconItems map.png"" src=""https://gamepedia.cursecdn.com/deadbydaylight_gamepedia_en/thumb/9/92/IconItems_map.png/32px-IconItems_map.png?version=b9512bc2b4356f48b2fb0a15461e4c4f"" decoding=""async"" width=""32"" height=""32"" srcset=""https://gamepedia.cursecdn.com/deadbydaylight_gamepedia_en/thumb/9/92/IconItems_map.png/48px-IconItems_map.png?version=b9512bc2b4356f48b2fb0a15461e4c4f 1.5x, https://gamepedia.cursecdn.com/deadbydaylight_gamepedia_en/thumb/9/92/IconItems_map.png/64px-IconItems_map.png?version=b9512bc2b4356f48b2fb0a15461e4c4f 2x""></a> that can track Objectives, Generators revealed by <i>Detective's Hunch</i> are added to the Map.
</p><p><i><span style=""color: #e3d1b6;"">""Are you able to tell us where you were last night?"" — Detective David Tapp</span></i>
</p>",survivor,25
Distortion,"You start the Trial with 3 Tokens.
When your Aura  would be shown to the Killer, the Perk activates and a Token is consumed.
For the next 6/8/10 seconds while the Perk is activated, your Aura and Scratch Marks will not be shown to the Killer.
Distortion does not activate when you are in the Dying State  or affected by Traps.
""'Death Fooled by the Cloak of Falcon Feathers.'
Sketch inspired by a few sleepless nights during winter. Exploration of Norse mythology: bravery can conceal your flaws, even when you are at your most vulnerable."" — Jeff, pencil on tone paper, 12x12",Jeff,"<p>You start the Trial with <b><span style=""color: #e8c252;"">3 Tokens</span></b>.
</p><p>When your <a href=""/Aura"" class=""mw-redirect"" title=""Aura"">Aura</a> <a href=""/Aura"" title=""Aura""><img alt=""IconHelp auras.png"" src=""https://gamepedia.cursecdn.com/deadbydaylight_gamepedia_en/thumb/0/03/IconHelp_auras.png/32px-IconHelp_auras.png?version=08dcb30431cdc41d9ee7740eba2e7fa4"" decoding=""async"" width=""32"" height=""32"" srcset=""https://gamepedia.cursecdn.com/deadbydaylight_gamepedia_en/thumb/0/03/IconHelp_auras.png/48px-IconHelp_auras.png?version=08dcb30431cdc41d9ee7740eba2e7fa4 1.5x, https://gamepedia.cursecdn.com/deadbydaylight_gamepedia_en/thumb/0/03/IconHelp_auras.png/64px-IconHelp_auras.png?version=08dcb30431cdc41d9ee7740eba2e7fa4 2x""></a> would be shown to the Killer, the Perk activates and a Token is consumed.
</p><p>For the next <span style=""color: #e8c252;""><b>6</b></span>/<span style=""color: #199b1e;""><b>8</b></span>/<span style=""color: #ac3ee3;""><b>10</b></span>&nbsp;seconds while the Perk is activated, your Aura and Scratch Marks will not be shown to the Killer.
</p><p><i>Distortion</i> does not activate when you are in the <a href=""/Dying_State"" class=""mw-redirect"" title=""Dying State"">Dying State</a> <a href=""/Dying_State"" title=""Dying State""><img alt=""IconHelp dying.png"" src=""https://gamepedia.cursecdn.com/deadbydaylight_gamepedia_en/thumb/9/9a/IconHelp_dying.png/32px-IconHelp_dying.png?version=ca024196b5863d6ae783dc8b0624ee26"" decoding=""async"" width=""32"" height=""32"" srcset=""https://gamepedia.cursecdn.com/deadbydaylight_gamepedia_en/thumb/9/9a/IconHelp_dying.png/48px-IconHelp_dying.png?version=ca024196b5863d6ae783dc8b0624ee26 1.5x, https://gamepedia.cursecdn.com/deadbydaylight_gamepedia_en/thumb/9/9a/IconHelp_dying.png/64px-IconHelp_dying.png?version=ca024196b5863d6ae783dc8b0624ee26 2x""></a> or affected by Traps.
</p><p><i><span style=""color: #e3d1b6;"">""'Death Fooled by the Cloak of Falcon Feathers.'<br>Sketch inspired by a few sleepless nights during winter. Exploration of Norse mythology: bravery can conceal your flaws, even when you are at your most vulnerable."" — Jeff, pencil on tone paper, 12x12</span></i>
</p>",survivor,26
Diversion,"Activate-able Perk.
Standing within the Killer's Terror Radius while not in a Chase for 45 seconds activates Diversion.

Once Diversion is activated, press the Active Ability button while crouched and motionless to throw a pebble, which creates a loud noise notification for the Killer at a distance of 10/15/20 metres.
Diversion deactivates once it has been used.
""There's what is easy and then there's what is right. If you confuse the two, there's no telling what you become."" — Adam Francis",Adam,"<p>Activate-able Perk.
</p><p>Standing within the Killer's <a href=""/Terror_Radius"" class=""mw-redirect"" title=""Terror Radius"">Terror Radius</a> while not in a Chase for <b><span style=""color: #e8c252;"">45 seconds</span></b> activates <i>Diversion</i>.
</p>
<ul><li>Once <i>Diversion</i> is activated, press the <b><span style=""color: #ff8800;"">Active Ability</span></b> button while crouched and motionless to throw a pebble, which creates a loud noise notification for the Killer at a distance of <span style=""color: #ab713c;""><b>10</b></span>/<span style=""color: #e8c252;""><b>15</b></span>/<span style=""color: #199b1e;""><b>20</b></span>&nbsp;metres.</li>
<li><i>Diversion</i> deactivates once it has been used.</li></ul>
<p><i><span style=""color: #e3d1b6;"">""There's what is easy and then there's what is right. If you confuse the two, there's no telling what you become."" — Adam Francis</span></i>
</p>",survivor,27
Empathy,"Unlocks potential in one's Aura-reading ability.
Dying  or Injured  Allies' Auras  are revealed to you when within 64/96/128 metres of range.
Empathy does not reveal Auras of Allies when they are in the Killer's direct contact.",Claudette,"<p>Unlocks potential in one's Aura-reading ability.
</p><p><a href=""/Dying"" class=""mw-redirect"" title=""Dying"">Dying</a> <a href=""/Dying"" title=""Dying""><img alt=""IconHelp dying.png"" src=""https://gamepedia.cursecdn.com/deadbydaylight_gamepedia_en/thumb/9/9a/IconHelp_dying.png/32px-IconHelp_dying.png?version=ca024196b5863d6ae783dc8b0624ee26"" decoding=""async"" width=""32"" height=""32"" srcset=""https://gamepedia.cursecdn.com/deadbydaylight_gamepedia_en/thumb/9/9a/IconHelp_dying.png/48px-IconHelp_dying.png?version=ca024196b5863d6ae783dc8b0624ee26 1.5x, https://gamepedia.cursecdn.com/deadbydaylight_gamepedia_en/thumb/9/9a/IconHelp_dying.png/64px-IconHelp_dying.png?version=ca024196b5863d6ae783dc8b0624ee26 2x""></a> or <a href=""/Injured"" class=""mw-redirect"" title=""Injured"">Injured</a> <a href=""/Injured"" title=""Injured""><img alt=""IconHelp injured.png"" src=""https://gamepedia.cursecdn.com/deadbydaylight_gamepedia_en/thumb/9/93/IconHelp_injured.png/32px-IconHelp_injured.png?version=97da7c3ddfa5b5507e2d0bc2cc36a269"" decoding=""async"" width=""32"" height=""32"" srcset=""https://gamepedia.cursecdn.com/deadbydaylight_gamepedia_en/thumb/9/93/IconHelp_injured.png/48px-IconHelp_injured.png?version=97da7c3ddfa5b5507e2d0bc2cc36a269 1.5x, https://gamepedia.cursecdn.com/deadbydaylight_gamepedia_en/thumb/9/93/IconHelp_injured.png/64px-IconHelp_injured.png?version=97da7c3ddfa5b5507e2d0bc2cc36a269 2x""></a> Allies' <a href=""/Auras"" title=""Auras"">Auras</a> <a href=""/Auras"" title=""Auras""><img alt=""IconHelp auras.png"" src=""https://gamepedia.cursecdn.com/deadbydaylight_gamepedia_en/thumb/0/03/IconHelp_auras.png/32px-IconHelp_auras.png?version=08dcb30431cdc41d9ee7740eba2e7fa4"" decoding=""async"" width=""32"" height=""32"" srcset=""https://gamepedia.cursecdn.com/deadbydaylight_gamepedia_en/thumb/0/03/IconHelp_auras.png/48px-IconHelp_auras.png?version=08dcb30431cdc41d9ee7740eba2e7fa4 1.5x, https://gamepedia.cursecdn.com/deadbydaylight_gamepedia_en/thumb/0/03/IconHelp_auras.png/64px-IconHelp_auras.png?version=08dcb30431cdc41d9ee7740eba2e7fa4 2x""></a> are revealed to you when within <span style=""color: #ab713c;""><b>64</b></span>/<span style=""color: #e8c252;""><b>96</b></span>/<span style=""color: #199b1e;""><b>128</b></span>&nbsp;metres of range.
</p><p><i>Empathy</i> does not reveal Auras of Allies when they are in the Killer's direct contact.
</p>",survivor,28
Fixated,"When you have a goal in mind, there's no turning back; better to ask forgiveness than permission.
You can see your own Scratch Marks at all times.
While uninjured, you walk 10/15/20 % faster.
""I wanna finish what we started. I want to kill it."" — Nancy Wheeler",Nancy,"<p>When you have a goal in mind, there's no turning back; better to ask forgiveness than permission.
</p><p>You can see your own <i>Scratch Marks</i> at all times.
</p><p>While uninjured, you walk <span style=""color: #e8c252;""><b>10</b></span>/<span style=""color: #199b1e;""><b>15</b></span>/<span style=""color: #ac3ee3;""><b>20</b></span>&nbsp;% faster.
</p><p><i><span style=""color: #e3d1b6;"">""I wanna finish what we started. I want to kill it."" — Nancy Wheeler</span></i>
</p>",survivor,29
Flip-Flop,"You have an uncanny ability to escape the inevitable.
While in the Dying State , 50 % of your recovery progression is converted into wiggle progression when you are picked up by the Killer, up to a maximum of 40/45/50 % total wiggle progression.
""Catch ya on the flip-flop."" — Ash Williams",Ash,"<p>You have an uncanny ability to escape the inevitable.
</p><p>While in the <a href=""/Dying_State"" class=""mw-redirect"" title=""Dying State"">Dying State</a> <a href=""/Dying_State"" title=""Dying State""><img alt=""IconHelp dying.png"" src=""https://gamepedia.cursecdn.com/deadbydaylight_gamepedia_en/thumb/9/9a/IconHelp_dying.png/32px-IconHelp_dying.png?version=ca024196b5863d6ae783dc8b0624ee26"" decoding=""async"" width=""32"" height=""32"" srcset=""https://gamepedia.cursecdn.com/deadbydaylight_gamepedia_en/thumb/9/9a/IconHelp_dying.png/48px-IconHelp_dying.png?version=ca024196b5863d6ae783dc8b0624ee26 1.5x, https://gamepedia.cursecdn.com/deadbydaylight_gamepedia_en/thumb/9/9a/IconHelp_dying.png/64px-IconHelp_dying.png?version=ca024196b5863d6ae783dc8b0624ee26 2x""></a>, <b><span style=""color: #e8c252;"">50&nbsp;%</span></b> of your recovery progression is converted into wiggle progression when you are picked up by the Killer, up to a maximum of <span style=""color: #ab713c;""><b>40</b></span>/<span style=""color: #e8c252;""><b>45</b></span>/<span style=""color: #199b1e;""><b>50</b></span>&nbsp;% total wiggle progression.
</p><p><i><span style=""color: #e3d1b6;"">""Catch ya on the flip-flop."" — Ash Williams</span></i>
</p>",survivor,30
Head On,"When your mind is set, there better be no one standing in your way.
While standing in a Locker  for 3 seconds, Head On activates.
While Head On is activated, performing a rushed action to leave a Locker stuns the Killer for 3 seconds if they are standing within range.
Causes the Exhausted  Status Effect for 60/50/40 seconds if the stun was successful.
You do not recover from Exhaustion while running.
Head On cannot be used while Exhausted or when you have accrued Stillness Crows .
""People are remembered for the challenges they overcome. You can run away and forget what you're capable of or you can face your fears and remind the world of who you are."" — Jane Romero",Jane,"<p>When your mind is set, there better be no one standing in your way.
</p><p>While standing in a <b><a href=""/Locker"" class=""mw-redirect"" title=""Locker"">Locker</a> <a href=""/Locker"" title=""Locker""><img alt=""IconHelp lockers.png"" src=""https://gamepedia.cursecdn.com/deadbydaylight_gamepedia_en/thumb/d/d1/IconHelp_lockers.png/32px-IconHelp_lockers.png?version=fc2105c059578ea803cb7d2da87e3642"" decoding=""async"" width=""32"" height=""32"" srcset=""https://gamepedia.cursecdn.com/deadbydaylight_gamepedia_en/thumb/d/d1/IconHelp_lockers.png/48px-IconHelp_lockers.png?version=fc2105c059578ea803cb7d2da87e3642 1.5x, https://gamepedia.cursecdn.com/deadbydaylight_gamepedia_en/thumb/d/d1/IconHelp_lockers.png/64px-IconHelp_lockers.png?version=fc2105c059578ea803cb7d2da87e3642 2x""></a></b> for <b><span style=""color: #e8c252;"">3 seconds</span></b>, <i>Head On</i> activates.
</p><p>While <i>Head On</i> is activated, performing a rushed action to leave a Locker stuns the Killer for <b><span style=""color: #ff8800;"">3 seconds</span></b> if they are standing within range.
</p><p>Causes the <i><b><a href=""/Exhausted"" class=""mw-redirect"" title=""Exhausted"">Exhausted</a> <a href=""/Exhausted"" title=""Exhausted""><img alt=""IconStatusEffects exhausted.png"" src=""https://gamepedia.cursecdn.com/deadbydaylight_gamepedia_en/thumb/e/ef/IconStatusEffects_exhausted.png/32px-IconStatusEffects_exhausted.png?version=4875b3d1f0c5d127a1d808a66c03a2d4"" decoding=""async"" width=""32"" height=""32"" srcset=""https://gamepedia.cursecdn.com/deadbydaylight_gamepedia_en/thumb/e/ef/IconStatusEffects_exhausted.png/48px-IconStatusEffects_exhausted.png?version=4875b3d1f0c5d127a1d808a66c03a2d4 1.5x, https://gamepedia.cursecdn.com/deadbydaylight_gamepedia_en/thumb/e/ef/IconStatusEffects_exhausted.png/64px-IconStatusEffects_exhausted.png?version=4875b3d1f0c5d127a1d808a66c03a2d4 2x""></a></b></i> <b>Status Effect</b> for <span style=""color: #199b1e;""><b>60</b></span>/<span style=""color: #ac3ee3;""><b>50</b></span>/<span style=""color: #ff0955;""><b>40</b></span>&nbsp;seconds if the stun was successful.
</p><p><i>You do not recover from <b>Exhaustion</b> while running.</i>
</p><p><i>Head On</i> cannot be used while <i><b>Exhausted</b></i> or when you have accrued <a href=""/Stillness_Crows"" class=""mw-redirect"" title=""Stillness Crows"">Stillness Crows</a> <a href=""/Stillness_Crows"" title=""Stillness Crows""><img alt=""IconHelp crows.png"" src=""https://gamepedia.cursecdn.com/deadbydaylight_gamepedia_en/thumb/7/78/IconHelp_crows.png/32px-IconHelp_crows.png?version=316f0fe0652badce92db0106ab80926e"" decoding=""async"" width=""32"" height=""32"" srcset=""https://gamepedia.cursecdn.com/deadbydaylight_gamepedia_en/thumb/7/78/IconHelp_crows.png/48px-IconHelp_crows.png?version=316f0fe0652badce92db0106ab80926e 1.5x, https://gamepedia.cursecdn.com/deadbydaylight_gamepedia_en/thumb/7/78/IconHelp_crows.png/64px-IconHelp_crows.png?version=316f0fe0652badce92db0106ab80926e 2x""></a>.
</p><p><i><span style=""color: #e3d1b6;"">""People are remembered for the challenges they overcome. You can run away and forget what you're capable of or you can face your fears and remind the world of who you are."" — Jane Romero</span></i>
</p>",survivor,31
Hope,"The growing odds of a successful escape fill you with hope and give you wings.
As soon as the Exit Gates  are powered, you gain a 5/6/7 % Haste  Status Effect for 120 seconds.
""Buckle up, fuckos! Let's roll."" — Nikki, The Lost Tapes",All,"<p>The growing odds of a successful escape fill you with hope and give you wings.
</p><p>As soon as the <a href=""/Exit_Gates"" title=""Exit Gates"">Exit Gates</a> <a href=""/Exit_Gates"" title=""Exit Gates""><img alt=""IconHelp exitGates.png"" src=""https://gamepedia.cursecdn.com/deadbydaylight_gamepedia_en/thumb/f/f0/IconHelp_exitGates.png/32px-IconHelp_exitGates.png?version=125be66902699c5c3f5bb1e7b62ea07f"" decoding=""async"" width=""32"" height=""32"" srcset=""https://gamepedia.cursecdn.com/deadbydaylight_gamepedia_en/thumb/f/f0/IconHelp_exitGates.png/48px-IconHelp_exitGates.png?version=125be66902699c5c3f5bb1e7b62ea07f 1.5x, https://gamepedia.cursecdn.com/deadbydaylight_gamepedia_en/thumb/f/f0/IconHelp_exitGates.png/64px-IconHelp_exitGates.png?version=125be66902699c5c3f5bb1e7b62ea07f 2x""></a> are powered, you gain a <span style=""color: #e8c252;""><b>5</b></span>/<span style=""color: #199b1e;""><b>6</b></span>/<span style=""color: #ac3ee3;""><b>7</b></span>&nbsp;% <i><b><a href=""/Haste"" class=""mw-redirect"" title=""Haste"">Haste</a> <a href=""/Haste"" title=""Haste""><img alt=""IconStatusEffects haste.png"" src=""https://gamepedia.cursecdn.com/deadbydaylight_gamepedia_en/thumb/e/e7/IconStatusEffects_haste.png/32px-IconStatusEffects_haste.png?version=274628c57a52eff149385242dc7d4a3c"" decoding=""async"" width=""32"" height=""32"" srcset=""https://gamepedia.cursecdn.com/deadbydaylight_gamepedia_en/thumb/e/e7/IconStatusEffects_haste.png/48px-IconStatusEffects_haste.png?version=274628c57a52eff149385242dc7d4a3c 1.5x, https://gamepedia.cursecdn.com/deadbydaylight_gamepedia_en/thumb/e/e7/IconStatusEffects_haste.png/64px-IconStatusEffects_haste.png?version=274628c57a52eff149385242dc7d4a3c 2x""></a></b></i> <b>Status Effect</b> for <b><span style=""color: #ff8800;"">120 seconds</span></b>.
</p><p><i><span style=""color: #e3d1b6;"">""Buckle up, fuckos! Let's roll."" — Nikki, The Lost Tapes</span></i>
</p>",survivor,32
Inner Strength,"You look inwards and trust your instincts when you feel lost and alone.
Each time you cleanse a Totem , Inner Strength activates.
While Inner Strength is activated, hiding inside a Locker  for 10/9/8 seconds while Injured  automatically heals you to the Healthy State .
Inner Strength does not activate if you are afflicted by the Broken  Status Effect.
""All this time I've been trying so hard to pretend like everything's fine, but it's not."" — Nancy Wheeler",Nancy,"<p>You look inwards and trust your instincts when you feel lost and alone.
</p><p>Each time you cleanse a <a href=""/Totem"" class=""mw-redirect"" title=""Totem"">Totem</a> <a href=""/Totem"" title=""Totem""><img alt=""IconHelpLoading totem.png"" src=""https://gamepedia.cursecdn.com/deadbydaylight_gamepedia_en/thumb/e/e9/IconHelpLoading_totem.png/32px-IconHelpLoading_totem.png?version=8995ef0cef6bdeb6f63c9bef44c2d7c2"" decoding=""async"" width=""32"" height=""32"" srcset=""https://gamepedia.cursecdn.com/deadbydaylight_gamepedia_en/thumb/e/e9/IconHelpLoading_totem.png/48px-IconHelpLoading_totem.png?version=8995ef0cef6bdeb6f63c9bef44c2d7c2 1.5x, https://gamepedia.cursecdn.com/deadbydaylight_gamepedia_en/thumb/e/e9/IconHelpLoading_totem.png/64px-IconHelpLoading_totem.png?version=8995ef0cef6bdeb6f63c9bef44c2d7c2 2x""></a>, <i>Inner Strength</i> activates.
</p><p>While <i>Inner Strength</i> is activated, hiding inside a <a href=""/Locker"" class=""mw-redirect"" title=""Locker"">Locker</a> <a href=""/Locker"" title=""Locker""><img alt=""IconHelp lockers.png"" src=""https://gamepedia.cursecdn.com/deadbydaylight_gamepedia_en/thumb/d/d1/IconHelp_lockers.png/32px-IconHelp_lockers.png?version=fc2105c059578ea803cb7d2da87e3642"" decoding=""async"" width=""32"" height=""32"" srcset=""https://gamepedia.cursecdn.com/deadbydaylight_gamepedia_en/thumb/d/d1/IconHelp_lockers.png/48px-IconHelp_lockers.png?version=fc2105c059578ea803cb7d2da87e3642 1.5x, https://gamepedia.cursecdn.com/deadbydaylight_gamepedia_en/thumb/d/d1/IconHelp_lockers.png/64px-IconHelp_lockers.png?version=fc2105c059578ea803cb7d2da87e3642 2x""></a> for <span style=""color: #199b1e;""><b>10</b></span>/<span style=""color: #ac3ee3;""><b>9</b></span>/<span style=""color: #ff0955;""><b>8</b></span>&nbsp;seconds while <a href=""/Injured"" class=""mw-redirect"" title=""Injured"">Injured</a> <a href=""/Injured"" title=""Injured""><img alt=""IconHelp injured.png"" src=""https://gamepedia.cursecdn.com/deadbydaylight_gamepedia_en/thumb/9/93/IconHelp_injured.png/32px-IconHelp_injured.png?version=97da7c3ddfa5b5507e2d0bc2cc36a269"" decoding=""async"" width=""32"" height=""32"" srcset=""https://gamepedia.cursecdn.com/deadbydaylight_gamepedia_en/thumb/9/93/IconHelp_injured.png/48px-IconHelp_injured.png?version=97da7c3ddfa5b5507e2d0bc2cc36a269 1.5x, https://gamepedia.cursecdn.com/deadbydaylight_gamepedia_en/thumb/9/93/IconHelp_injured.png/64px-IconHelp_injured.png?version=97da7c3ddfa5b5507e2d0bc2cc36a269 2x""></a> automatically heals you to the <a href=""/Healthy_State"" class=""mw-redirect"" title=""Healthy State"">Healthy State</a> <a href=""/Healthy_State"" title=""Healthy State""><img alt=""IconHelp healthy.png"" src=""https://gamepedia.cursecdn.com/deadbydaylight_gamepedia_en/thumb/6/67/IconHelp_healthy.png/32px-IconHelp_healthy.png?version=773684c1e9db507b9eb689a2fd45d114"" decoding=""async"" width=""32"" height=""36"" srcset=""https://gamepedia.cursecdn.com/deadbydaylight_gamepedia_en/thumb/6/67/IconHelp_healthy.png/48px-IconHelp_healthy.png?version=773684c1e9db507b9eb689a2fd45d114 1.5x, https://gamepedia.cursecdn.com/deadbydaylight_gamepedia_en/thumb/6/67/IconHelp_healthy.png/64px-IconHelp_healthy.png?version=773684c1e9db507b9eb689a2fd45d114 2x""></a>.
</p><p><i>Inner Strength</i> does not activate if you are afflicted by the <i><b><a href=""/Broken"" class=""mw-redirect"" title=""Broken"">Broken</a> <a href=""/Broken"" title=""Broken""><img alt=""IconStatusEffects broken.png"" src=""https://gamepedia.cursecdn.com/deadbydaylight_gamepedia_en/thumb/1/14/IconStatusEffects_broken.png/32px-IconStatusEffects_broken.png?version=df5bc7d0bc0c2ed5eb7df5ca0577baab"" decoding=""async"" width=""32"" height=""32"" srcset=""https://gamepedia.cursecdn.com/deadbydaylight_gamepedia_en/thumb/1/14/IconStatusEffects_broken.png/48px-IconStatusEffects_broken.png?version=df5bc7d0bc0c2ed5eb7df5ca0577baab 1.5x, https://gamepedia.cursecdn.com/deadbydaylight_gamepedia_en/thumb/1/14/IconStatusEffects_broken.png/64px-IconStatusEffects_broken.png?version=df5bc7d0bc0c2ed5eb7df5ca0577baab 2x""></a></b></i> <b>Status Effect</b>.
</p><p><i><span style=""color: #e3d1b6;"">""All this time I've been trying so hard to pretend like everything's fine, but it's not."" — Nancy Wheeler</span></i>
</p>",survivor,33
Iron Will,"You're able to concentrate and enter a meditative-like state to numb some pain.
Grunts of pain caused by injuries are reduced by 50/75/100 %.",Jake,"<p>You're able to concentrate and enter a meditative-like state to numb some pain.
</p><p>Grunts of pain caused by injuries are reduced by <span style=""color: #ab713c;""><b>50</b></span>/<span style=""color: #e8c252;""><b>75</b></span>/<span style=""color: #199b1e;""><b>100</b></span>&nbsp;%.
</p>",survivor,34
Kindred,"Unlocks potential in one's Aura-reading ability.
While you are on the Hook, all Survivor Auras are revealed to all Survivors.
If the Killer is within a range of 8/12/16 metres, their Aura is also revealed to all Survivors.
While any other Survivor is on the Hook, all Survivor Auras are revealed to you.
If the Killer is within a range of 8/12/16 metres, their Aura is also revealed to you.
""Be kind to one another. We're all in this together."" — Sujan, The Lost Tapes",All,"<p>Unlocks potential in one's Aura-reading ability.
</p><p>While you are on the Hook, all Survivor Auras are revealed to all Survivors.<br>If the Killer is within a range of <span style=""color: #e8c252;""><b>8</b></span>/<span style=""color: #199b1e;""><b>12</b></span>/<span style=""color: #ac3ee3;""><b>16</b></span>&nbsp;metres, their Aura is also revealed to all Survivors.
</p><p>While any other Survivor is on the Hook, all Survivor Auras are revealed to you.<br>If the Killer is within a range of <span style=""color: #e8c252;""><b>8</b></span>/<span style=""color: #199b1e;""><b>12</b></span>/<span style=""color: #ac3ee3;""><b>16</b></span>&nbsp;metres, their Aura is also revealed to you.
</p><p><i><span style=""color: #e3d1b6;"">""Be kind to one another. We're all in this together."" — Sujan, The Lost Tapes</span></i>
</p>",survivor,35
Leader,"You're able to organise a team to cooperate more efficiently.
Increases the other Survivors' Healing, Sabotage, Unhooking, Cleansing, Opening Exit Gates, and Chest Search speeds by  15/20/25 % when they are within 8 metres of range from you.
Survivors can only be affected by one Leader effect at a time.
This effect persists on other Survivors for 15 seconds after leaving the Leader's effective Perk range.",Dwight,"<p>You're able to organise a team to cooperate more efficiently.
</p><p>Increases the other Survivors' Healing, Sabotage, Unhooking, Cleansing, Opening Exit Gates, and Chest Search speeds by  <span style=""color: #199b1e;""><b>15</b></span>/<span style=""color: #ac3ee3;""><b>20</b></span>/<span style=""color: #ff0955;""><b>25</b></span>&nbsp;% when they are within <b><span style=""color: #ff8800;"">8 metres</span></b> of range from you.
</p><p>Survivors can only be affected by one <i>Leader</i> effect at a time.
</p><p>This effect persists on other Survivors for <b><span style=""color: #d41c1c;"">15 seconds</span></b> after leaving the Leader's effective Perk range.
</p>",survivor,36
